신호등_index,관리번호,관할구,주소,X좌표,Y좌표,교통사고,label,smart_label
1,03-0000013905,강남구,강남구 대치동 973-12 대,205374.9878,544360.3235,704.4795774,1,0.69748225
2,03-0000064343,강남구,강남구 역삼동 712 공,203974.3625,544362.8187,1034.071646,1,0.652320701
3,03-0000065097,강남구,강남구 역삼동 633-16 대,202722.1824,544404.9315,461.0510827,1,0.680305719
4,03-0000014413,강남구,강남구 삼성동 186-6천,205839.8146,546182.1334,297.8631528,0,0.354869885
5,03-0000066954,강남구,강남구 일원동 306유,207106.75,544477.2562,1526.681283,0,0.162642674
6,03-0000068251,강남구,강남구 압구정동 484천,203048.9518,548378.1771,1702.028355,0,0.142680961
7,03-0000068344,강남구,강남구 일원동 580잡,207016.6866,543786.4136,2003.322801,1,0.887266729
8,03-0000066124,강남구,강남구 삼성동 133 공,204339.0654,545034.6562,1446.022326,0,0.218663874
9,03-0000066130,강남구,강남구 대치동 137 공,204381.3919,545002.05,1397.613549,0,0.634513722
10,03-0000029817,강남구,강남구 일원동 580잡,207017.6982,543808.5328,2004.796327,1,0.891677706
11,03-0000013910,강남구,강남구 대치동 1012-68 도,205392.1094,544406.3437,752.819043,1,0.61999541
12,03-0000013916,강남구,강남구 대치동 980-5 대,205513.8001,544450.9754,856.5902036,0,0.675360547
13,03-0000064367,강남구,강남구 대치동 316 대,205543.7744,544047.1868,605.0683044,1,0.598966433
14,03-0000012646,강남구,강남구 대치동 316 대,205520.875,544028.7062,576.120505,1,0.608733898
15,03-0000065094,강남구,강남구 청담동 343천,204779.609,547315.3438,428.8188639,0,0.19637689
16,03-0000065089,강남구,강남구 논현동 219-14 대,202913.7861,545507.4151,471.0256562,0,0.579655524
17,03-0000065084,강남구,강남구 삼성동 24-25 대,204400.791,545826.5706,1184.950632,0,0.453527541
18,03-0000065082,강남구,강남구 삼성동 24-23 대,204386.0748,545846.7365,1194.925095,0,0.439928965
